n,G_score,pred,truth
302,1.8358300027522023,COMPOSITE,COMPOSITE
303,1.8358300027522023,COMPOSITE,COMPOSITE
304,1.8358300027522023,COMPOSITE,COMPOSITE
305,1.8358300027522023,COMPOSITE,COMPOSITE
306,1.8358300027522023,COMPOSITE,COMPOSITE
307,1.6027142457417924,COMPOSITE,PRIME
308,1.8358300027522023,COMPOSITE,COMPOSITE
309,1.8358300027522023,COMPOSITE,COMPOSITE
310,1.8358300027522023,COMPOSITE,COMPOSITE
311,1.6082865056041051,COMPOSITE,PRIME
312,1.8358300027522023,COMPOSITE,COMPOSITE
313,1.6109998510651666,COMPOSITE,PRIME
314,1.8358300027522023,COMPOSITE,COMPOSITE
315,1.8358300027522023,COMPOSITE,COMPOSITE
316,1.8358300027522023,COMPOSITE,COMPOSITE
317,1.616286383380244,COMPOSITE,PRIME
318,1.8358300027522023,COMPOSITE,COMPOSITE
319,1.8358300027522023,COMPOSITE,COMPOSITE
320,1.8358300027522023,COMPOSITE,COMPOSITE
321,1.8358300027522023,COMPOSITE,COMPOSITE
322,1.8358300027522023,COMPOSITE,COMPOSITE
323,1.8358300027522023,COMPOSITE,COMPOSITE
324,1.8358300027522023,COMPOSITE,COMPOSITE
325,1.8358300027522023,COMPOSITE,COMPOSITE
326,1.8358300027522023,COMPOSITE,COMPOSITE
327,1.8358300027522023,COMPOSITE,COMPOSITE
328,1.8358300027522023,COMPOSITE,COMPOSITE
329,1.8358300027522023,COMPOSITE,COMPOSITE
330,1.8358300027522023,COMPOSITE,COMPOSITE
331,1.633422381225971,COMPOSITE,PRIME
332,1.8358300027522023,COMPOSITE,COMPOSITE
333,1.8358300027522023,COMPOSITE,COMPOSITE
334,1.8358300027522023,COMPOSITE,COMPOSITE
335,1.8358300027522023,COMPOSITE,COMPOSITE
336,1.8358300027522023,COMPOSITE,COMPOSITE
337,1.6401704020785366,COMPOSITE,PRIME
338,1.8358300027522023,COMPOSITE,COMPOSITE
339,1.8358300027522023,COMPOSITE,COMPOSITE
340,1.8358300027522023,COMPOSITE,COMPOSITE
341,1.8358300027522023,COMPOSITE,COMPOSITE
342,1.8358300027522023,COMPOSITE,COMPOSITE
343,1.8358300027522023,COMPOSITE,COMPOSITE
344,1.8358300027522023,COMPOSITE,COMPOSITE
345,1.8358300027522023,COMPOSITE,COMPOSITE
346,1.8358300027522023,COMPOSITE,COMPOSITE
347,1.6507042650005865,COMPOSITE,PRIME
348,1.8358300027522023,COMPOSITE,COMPOSITE
349,1.6527107363737978,COMPOSITE,PRIME
350,1.8358300027522023,COMPOSITE,COMPOSITE
351,1.8358300027522023,COMPOSITE,COMPOSITE
352,1.8358300027522023,COMPOSITE,COMPOSITE
353,1.6566288626151562,COMPOSITE,PRIME
354,1.8358300027522023,COMPOSITE,COMPOSITE
355,1.8358300027522023,COMPOSITE,COMPOSITE
356,1.8358300027522023,COMPOSITE,COMPOSITE
357,1.8358300027522023,COMPOSITE,COMPOSITE
358,1.8358300027522023,COMPOSITE,COMPOSITE
359,1.6622785980717512,COMPOSITE,PRIME
360,1.8358300027522023,COMPOSITE,COMPOSITE
361,1.8358300027522023,COMPOSITE,COMPOSITE
362,1.8358300027522023,COMPOSITE,COMPOSITE
363,1.8358300027522023,COMPOSITE,COMPOSITE
364,1.8358300027522023,COMPOSITE,COMPOSITE
365,1.8358300027522023,COMPOSITE,COMPOSITE
366,1.8358300027522023,COMPOSITE,COMPOSITE
